GENE	BF
ACLY	23.487
ACMSD	-12.957
ACN9	-12.945
ACO1	-15.940
ACO2	7.659
ACOT1	-16.520
ACOT11	-15.521
ACOT12	-13.416
ACOT13	-14.078
ACOT2	-9.723
ACOT4	-10.710
ACOT6	-15.312
ACOT7	-19.134
ACOT8	-13.682
ACOT9	-21.909
ACOX1	-19.393
ACOX2	-13.219
ACOX3	-19.220
ACOXL	-16.505
ACP1	-29.678
ACP2	-11.160
ACP5	-23.402
ACP6	-21.284
ACPL2	-11.612
ACPP	-16.698
ACPT	-15.592
ACR	-5.159
ACRBP	-14.315
ACRC	-14.862
ACRV1	-22.148
ACSBG1	-17.313
ACSBG2	-22.683
ACSF2	-19.134
ACSF3	-23.612
ACSL1	-16.419
ACSL3	-6.892
ACSL4	-15.512
ACSL5	-8.249
ACSL6	-17.215
ACSM1	-7.126
ACSM2A	-20.531
ACSM2B	-9.831
ACSM3	-15.347
ACSM4	-9.513
ACSM5	-11.566
ACSS1	-21.789
ACSS2	-16.028
ACSS3	-17.095
ACTA1	-15.078
ACTA2	-17.317
ACTB	-2.467
ACTBL2	-19.206
ACTC1	-25.512
ACTG1	1.059
ACTG2	-21.074
ACTL10	-19.769
ACTL6A	76.979
ACTL6B	-16.614
ACTL7A	-16.392
ACTL7B	-19.886
ACTL8	-16.699
ACTL9	-14.588
ACTN1	-16.663
ACTN2	-21.507
ACTN4	-16.512
ACTR10	28.208
ACTR1A	-0.978
ACTR1B	-19.003
ACTR2	2.253
ACTR3	7.736
ACTR3B	-9.051
ACTR3C	-1.597
ACTR5	-4.003
ACTR6	18.372
ACTR8	1.999
ACTRT1	-15.051
ACTRT2	-21.831
ACTRT3	-1.006
ACVR1	-21.468
ACVR1B	-19.928
ACVR1C	-14.010
ACVR2A	-10.651
ACVR2B	-18.982
ACVRL1	-20.933
ACY1	-16.873
ACY3	-10.557
ACYP1	-14.598
ACYP2	-19.911
ADA	-13.415
ADAD1	-21.374
ADAD2	-18.185
ADAL	-13.966
ADAM10	-9.016
ADAM11	-8.866
ADAM12	-12.237
ADAM15	-17.976
ADAM17	-20.236
ADAM18	-16.660
ADAM19	-17.482
ADAM2	-5.236
ADAM20	-15.832
ADAM21	-6.677
ADAM22	-15.708
ADAM23	-18.642
ADAM28	-21.584
ADAM29	-16.814
ADAM30	-14.883
ADAM32	-4.845
ADAM33	-11.384
ADAM7	-16.916
ADAM8	-15.887
ADAM9	-9.698
ADAMDEC1	-9.010
ADAMTS1	-15.319
ADAMTS10	-15.076
ADAMTS12	-14.999
ADAMTS13	-18.198
ADAMTS14	-18.786
ADAMTS15	-15.917
ADAMTS16	-24.995
ADAMTS17	-13.054
ADAMTS18	-15.704
ADAMTS19	-21.904
ADAMTS2	-19.244
ADAMTS20	-13.254
ADAMTS3	-11.945
ADAMTS4	-15.045
ADAMTS5	-16.071
ADAMTS6	-13.629
ADAMTS7	-12.518
ADAMTS8	-14.637
ADAMTS9	-12.280
ADAMTSL1	-19.821
ADAMTSL2	-15.751
ADAMTSL3	-17.356
ADAMTSL4	-14.807
ADAMTSL5	-4.382
ADAP1	-18.861
ADAP2	-17.000
ADAR	10.319
ADARB1	-13.421
ADARB2	-14.273
ADAT1	-7.412
ADAT2	-18.225
ADAT3	-7.166
ADC	-19.542
ADCK1	-8.880
ADCK2	-9.678
ADCK3	-14.681
ADCK4	-12.399
ADCK5	-23.642
ADCY1	-12.903
ADCY10	-17.399
ADCY2	-20.178
ADCY3	-12.484
ADCY4	-17.043
ADCY5	-10.071
ADCY6	-21.858
ADCY7	-18.825
ADCY8	-12.163
ADCY9	-15.762
ADCYAP1	-17.679
ADCYAP1R1	-14.142
ADD1	-9.311
ADD2	-14.332
ADD3	-19.810
ADH1A	-12.712
ADH1B	-16.806
ADH4	-24.994
ADH5	-0.648
ADH6	-10.266
ADH7	-17.512
ADHFE1	-5.400
ADI1	-14.335
ADIG	-15.312
ADIPOQ	-25.023
ADIPOR1	-17.687
ADIPOR2	-12.054
ADIRF	-15.113
ADK	-11.107
ADM	-13.476
ADM2	-17.910
ADM5	-13.914
ADNP	-15.523
ADNP2	-11.745
ADO	-21.149
ADORA1	-11.915
ADORA2A	-14.044
ADORA2B	-27.049
ADORA3	-42.423
ADPGK	-16.415
ADPRH	-17.423
ADPRHL1	-13.670
ADPRHL2	-13.639
ADPRM	-12.788
ADRA1A	-17.857
