CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
17	7483328	7557436	35	0.0738	68377, 68411
17	7578415	7579588	5	1.071	68412, 68416
17	7592084	7832636	45	0.098	68417, 68461
17	7834386	7834859	5	-1.3701	68462, 68466
17	7836624	8093223	49	0.1671	68467, 68515
17	8110110	8110628	5	-2.3375	68516, 68520
17	8137819	8274649	35	-0.0139	68521, 68555
17	8283100	8283266	2	-2.3997	68556, 68557
17	8296327	12860057	156	0.1746	68558, 68713
17	12913931	12920252	4	-1.4205	68714, 68717
17	12921124	18167133	217	0.0123	68718, 68934
17	18194239	18217979	5	-1.1342	68935, 68939
17	18219208	26667364	207	0.025	68940, 69146
17	26667449	27005119	58	-0.2956	69147, 69204
17	27005843	27010750	4	-3.5737	69205, 69208
17	27031167	27049758	12	-0.9177	69209, 69220
17	27051751	30183839	199	-0.1346	69221, 69419
17	30213032	30264390	6	-1.5606	69420, 69425
17	30302560	30669040	24	-0.2452	69426, 69449
17	30678904	30796216	10	-2.4432	69450, 69459
17	30814784	33286627	70	0.0313	69460, 69529
17	33288682	33288874	3	-1.6271	69530, 69532
17	33288871	33454296	21	-0.0655	69533, 69553
17	33454344	33467050	8	-1.5638	69554, 69561
17	33475409	36895878	249	-0.1061	69562, 69810
17	36909505	36912248	5	-4.1748	69811, 69815
17	36935649	36997554	15	-0.3306	69816, 69830
17	37006713	37008975	5	-3.5616	69831, 69835
17	37054696	40914648	616	-0.1671	69836, 70451
17	40925868	40927487	5	-2.845	70452, 70456
17	40932895	41141497	62	-0.0496	70457, 70518
17	41151965	41154708	4	-3.6818	70519, 70522
17	41154705	41477395	36	-0.0101	70523, 70558
17	41567780	41584490	5	-1.5865	70559, 70563
17	41606977	42274994	101	0.0457	70564, 70664
17	42289080	42294000	5	-2.8752	70665, 70669
17	42335975	42941068	71	-0.0775	70670, 70740
17	42941068	42962646	4	-3.1165	70741, 70744
17	42978449	43138845	27	0.0279	70745, 70771
17	43171059	43174620	3	-3.1907	70772, 70774
17	43213878	44249419	65	-0.181	70775, 70839
17	44720496	44771293	5	-4.487	70840, 70844
17	44847183	44953718	10	-0.019	70845, 70854
17	45008501	45012466	5	-1.6203	70855, 70859
17	45056132	45056288	5	-0.1084	70860, 70864
17	45229258	45249396	5	-5.0986	70865, 70869
17	45297258	45681393	20	-0.3331	70870, 70889
17	45738522	45747100	5	-2.5313	70890, 70894
17	45773612	47014407	148	-0.2236	70895, 71042
17	47014428	47018325	4	-1.818	71043, 71046
17	47039113	47394984	34	-0.1206	71047, 71080
17	47489060	47490550	5	-2.933	71081, 71085
17	47583658	47699391	15	-0.2125	71086, 71100
17	47783226	47783672	4	-2.1399	71101, 71104
17	47783669	48778084	124	-0.2215	71105, 71228
17	48814350	48822121	5	-2.2104	71229, 71233
17	48913406	49302390	31	-0.451	71234, 71264
17	49338076	49353318	5	-1.646	71265, 71269
17	49731054	56060678	111	-0.133	71270, 71380
17	56083807	56084335	4	-2.4159	71381, 71384
17	56084342	56424609	32	-0.1773	71385, 71416
17	56424884	56428831	4	-2.0422	71417, 71420
