GENE	BF
ALDH1A1	-14.209
ALDH1A2	-7.211
ALDH1A3	-21.707
ALDH1B1	-16.873
ALDH1L1	-12.279
ALDH1L2	-14.630
ALDH2	-16.603
ALDH3A1	-23.595
ALDH3A2	-16.495
ALDH3B2	-14.696
ALDH4A1	-13.081
ALDH5A1	-11.359
ALDH6A1	-9.140
ALDH7A1	-12.478
ALDH8A1	-13.345
ALDH9A1	-3.055
ALDOA	10.756
ALDOB	-17.048
ALDOC	-8.842
ALG1	8.571
ALG10	-2.620
ALG10B	5.632
ALG11	17.341
ALG12	-7.707
ALG13	-11.341
ALG14	-3.095
ALG1L	18.593
ALG2	41.579
ALG3	-12.687
ALG5	5.237
ALG6	-6.824
ALG8	-6.554
ALG9	-3.810
ALK	-9.655
ALKBH1	-10.767
ALKBH2	-13.891
ALKBH3	-13.908
ALKBH4	-11.677
ALKBH5	-11.948
ALKBH6	-13.899
ALKBH7	-1.994
ALKBH8	-7.092
ALLC	-15.112
ALMS1	-9.710
ALOX12	-14.108
ALOX12B	-10.772
ALOX15	-14.229
ALOX15B	-10.690
ALOX5	-10.005
ALOX5AP	-19.363
ALOXE3	-12.482
ALPI	-16.609
ALPK1	-12.960
ALPK2	-11.374
ALPK3	-2.688
ALPL	-13.907
ALPP	-10.235
ALPPL2	-4.357
ALS2	-15.864
ALS2CL	-20.417
ALS2CR11	-6.746
ALS2CR12	-16.242
ALX1	-13.577
ALX3	-6.376
ALX4	-12.445
ALYREF	-0.963
AMACR	-14.710
AMBN	-7.410
AMBP	-17.195
AMBRA1	-20.534
AMD1	3.922
AMDHD1	-14.789
AMDHD2	-8.965
AMELX	-8.793
AMELY	-10.186
AMER1	-7.354
AMER2	-13.502
AMER3	-9.189
AMFR	-9.015
AMH	-13.016
AMHR2	-13.688
AMICA1	-13.116
AMIGO1	-10.883
AMIGO2	-17.674
AMIGO3	-11.122
AMMECR1	-11.069
AMMECR1L	-16.536
AMN	-7.575
AMN1	-18.569
AMOT	-14.767
AMOTL1	-10.920
AMOTL2	-16.433
AMPD1	-23.391
AMPD2	-15.200
AMPD3	-14.068
AMPH	-12.693
AMT	-12.264
AMTN	-10.194
AMY1B	2.333
AMY2A	-3.631
AMY2B	-2.622
AMZ1	-6.661
AMZ2	-10.995
ANAPC1	15.393
ANAPC10	77.552
ANAPC11	13.330
ANAPC13	-6.802
ANAPC15	-14.315
ANAPC16	-4.535
ANAPC2	5.423
ANAPC4	13.451
ANAPC5	28.744
ANAPC7	-11.867
ANG	-9.281
ANGEL1	-9.567
ANGEL2	-5.368
ANGPT1	-16.632
ANGPT2	-6.287
ANGPT4	-13.698
ANGPTL1	-10.907
ANGPTL2	-13.865
ANGPTL3	-11.896
ANGPTL4	-8.768
ANGPTL5	1.662
ANGPTL6	-10.772
ANGPTL7	-14.865
ANHX	-18.277
ANK1	-26.623
ANK2	-11.904
ANK3	-14.727
ANKAR	-8.726
ANKDD1A	-16.571
ANKDD1B	-23.163
ANKEF1	-13.723
ANKFN1	-16.983
ANKFY1	-16.293
ANKH	-14.313
ANKHD1	-10.972
ANKHD1-EIF4EBP3	-1.012
ANKIB1	-10.007
ANKK1	-15.890
ANKLE1	-13.464
ANKLE2	33.528
ANKMY1	-10.568
ANKMY2	-10.024
ANKRA2	-16.613
ANKRD1	-8.753
ANKRD10	-10.679
ANKRD11	-8.596
ANKRD12	-16.267
ANKRD13A	-15.040
ANKRD13B	-14.365
ANKRD13C	-9.388
ANKRD13D	-14.415
ANKRD16	-10.847
ANKRD17	-10.552
ANKRD18A	-11.798
ANKRD2	-18.685
ANKRD22	-8.719
ANKRD23	-17.624
ANKRD24	-14.435
ANKRD26	-14.251
ANKRD27	-12.421
ANKRD28	-16.737
ANKRD29	-15.412
ANKRD30A	-2.675
ANKRD30B	-14.143
ANKRD31	-17.062
ANKRD32	-14.302
ANKRD33	-16.049
ANKRD33B	-3.550
ANKRD34A	-10.632
ANKRD34B	-14.233
ANKRD34C	-10.478
ANKRD35	-4.703
ANKRD36	4.263
ANKRD37	-9.343
ANKRD39	-14.637
ANKRD40	-8.235
ANKRD42	-12.525
ANKRD44	-13.171
ANKRD45	-17.637
ANKRD46	-19.511
ANKRD49	-4.200
ANKRD50	-12.205
ANKRD52	-10.845
ANKRD53	-17.003
ANKRD54	-10.460
ANKRD55	-21.232
ANKRD6	-13.736
ANKRD61	-16.692
ANKRD62	-12.350
ANKRD65	0.205
ANKRD66	-11.356
ANKRD7	-15.080
ANKRD9	-15.384
ANKS1A	-17.467
ANKS1B	-39.861
ANKS3	-19.122
ANKS4B	-16.127
ANKS6	-6.884
ANKZF1	-11.797
ANLN	-6.008
ANO1	-15.055
ANO10	-15.102
ANO3	-9.603
ANO4	-18.085
ANO5	-13.710
ANO6	-15.535
ANO7	-11.033
ANO8	-10.335
ANO9	-18.111
ANP32A	-7.532
ANP32B	-8.941
ANP32D	-10.669
ANP32E	-21.749
ANPEP	-16.821
ANTXR1	-6.237
ANTXR2	-15.137
ANTXRL	-1.956
ANXA1	-8.479
ANXA10	-8.626
ANXA11	-14.247
ANXA13	-8.280
ANXA2	-17.302
ANXA2R	-9.233
ANXA3	-10.564
ANXA4	-12.836
ANXA5	-11.995
ANXA6	-14.878
ANXA7	-16.595
ANXA8	-7.294
ANXA8L1	-11.652
ANXA8L2	-2.484
ANXA9	-10.446
AOAH	-5.673
AOC1	-10.136
AOC2	-15.534
AOC3	-20.079
AOX1	-8.941
AP1AR	-12.925
AP1B1	-12.547
AP1G1	-7.172
AP1G2	-12.383
AP1M1	-11.828
AP1M2	-11.154
AP1S1	-18.154
AP1S2	4.628
AP1S3	-11.162
AP2A1	-4.334
AP2A2	-17.613
AP2B1	-10.777
AP2M1	30.275
AP2S1	59.586
AP3B1	8.311
AP3B2	-15.981
AP3D1	-2.585
AP3M1	-4.249
AP3M2	-4.915
AP3S1	-7.912
AP3S2	-14.469
AP4B1	-12.223
AP4E1	-15.567
AP4M1	-8.969
AP4S1	-20.918
AP5B1	-10.524
AP5M1	-12.357
AP5S1	-16.775
AP5Z1	-9.383
APAF1	-12.927
APBA1	-12.224
APBA2	-9.795
APBA3	-21.986
APBB1	-11.426
APBB1IP	-10.174
APBB2	-26.059
APBB3	-15.089
APC	-15.227
APC2	-14.148
APCDD1	-15.615
APCDD1L	-12.624
APCS	-4.145
APEH	-10.439
APEX1	-17.582
APEX2	-3.276
APH1A	7.835
APH1B	-13.014
API5	-1.532
APIP	17.650
APITD1	-11.990
APITD1-CORT	-5.956
APLF	-12.638
APLN	0.882
APLNR	-15.279
APLP1	-12.064
APLP2	-8.733
APMAP	-12.100
APOA1	-14.778
APOA1BP	-13.184
APOA2	-12.475
APOA4	-16.716
APOA5	-10.990
APOB	-13.597
APOBEC1	-7.481
APOBEC2	-15.967
APOBEC3A	-12.489
APOBEC3B	-13.461
APOBEC3C	-4.167
APOBEC3D	-9.689
APOBEC3F	-18.421
APOBEC3G	-19.172
APOBEC3H	-3.477
APOBEC4	-16.616
APOBR	-20.077
APOC1	-8.317
APOC2	-12.810
APOC3	-12.497
APOC4	-11.354
APOD	-13.484
APOE	-12.255
APOF	-11.034
APOH	-10.276
APOL1	-6.187
APOL2	-7.045
APOL3	-17.139
APOL5	-16.731
APOL6	-12.654
APOLD1	-6.700
APOM	-11.376
APOO	-14.785
APOOL	-9.611
APOPT1	-12.867
APP	-12.711
APPBP2	-1.197
APPL1	-14.884
APPL2	-12.540
APRT	-6.116
APTX	1.236
AQP1	-4.113
AQP10	-7.006
AQP11	-15.768
AQP12B	-3.248
AQP2	-12.621
AQP3	-12.967
AQP4	-15.812
AQP5	-14.650
AQP6	-9.473
AQP7	-1.685
AQP8	-20.063
AQP9	-12.500
AQPEP	-18.279
AQR	34.745
AR	-16.301
ARAF	-18.585
ARAP1	-13.861
ARAP2	-16.375
ARAP3	-7.856
ARC	-10.051
ARCN1	38.837
AREG	-14.246
AREL1	-11.371
ARF1	-3.678
ARF3	-12.351
ARF4	86.398
ARF5	-8.887
ARF6	-9.103
ARFGAP1	-12.371
ARFGAP2	-16.350
ARFGAP3	-16.169
ARFGEF1	-6.888
ARFGEF2	-12.634
ARFIP1	-5.124
ARFIP2	-10.420
ARFRP1	16.789
ARG1	-12.385
ARG2	-18.362
ARGFX	-17.919
ARGLU1	-0.054
ARHGAP1	-15.909
ARHGAP10	-10.622
ARHGAP11A	6.665
