GENE	BF
ACBD7	-11.330
ACCS	-7.171
ACCSL	-7.625
ACD	-3.581
ACE	-17.117
ACE2	-9.511
ACER1	-2.321
ACER2	-4.964
ACER3	-6.320
ACHE	-3.309
ACIN1	8.353
ACKR2	-6.626
ACKR3	-9.273
ACKR4	-0.965
ACLY	-5.255
ACMSD	-8.854
ACN9	-6.442
ACO1	-6.355
ACO2	-5.637
ACOT1	-8.460
ACOT11	-8.713
ACOT12	-6.044
ACOT13	-7.662
ACOT2	0.190
ACOT4	-10.038
ACOT6	-5.959
ACOT7	-12.389
ACOT8	-4.164
ACOT9	-9.306
ACOX1	-11.375
ACOX2	-5.463
ACOX3	-11.576
ACOXL	-12.395
ACP1	-17.417
ACP2	-5.022
ACP5	-9.483
ACP6	-14.899
ACPL2	-6.788
ACPP	-5.079
ACPT	-10.047
ACR	2.521
ACRBP	-12.672
ACRC	-11.483
ACRV1	-12.891
ACSBG1	-12.146
ACSBG2	-5.675
ACSF2	-12.063
ACSF3	-17.236
ACSL1	-6.419
ACSL3	-8.478
ACSL4	-13.558
ACSL5	-9.496
ACSL6	-13.921
ACSM1	-4.670
ACSM2A	-11.782
ACSM2B	-6.909
ACSM3	-9.048
ACSM4	-4.065
ACSM5	-5.052
ACSS1	-14.348
ACSS2	-12.989
ACSS3	-14.006
ACTA1	-8.642
ACTA2	-7.812
ACTB	3.231
ACTBL2	-9.903
ACTC1	-8.871
ACTG1	1.493
ACTG2	-9.203
ACTL10	-13.546
ACTL6A	19.767
ACTL6B	-13.933
ACTL7A	-5.904
ACTL7B	-13.589
ACTL8	-10.730
ACTL9	-4.337
ACTN1	-5.709
ACTN2	-6.098
ACTN4	-12.286
ACTR10	11.495
ACTR1A	1.215
ACTR1B	-8.999
ACTR2	15.997
ACTR3	-2.711
ACTR3B	-7.547
ACTR3C	-0.961
ACTR5	-7.046
ACTR6	-17.789
ACTR8	6.565
ACTRT1	-7.561
ACTRT2	-11.402
ACTRT3	-6.791
ACVR1	-17.393
ACVR1B	-10.415
ACVR1C	-10.062
ACVR2A	-9.723
ACVR2B	-6.945
ACVRL1	-11.740
ACY1	-12.811
ACY3	-12.733
ACYP1	-11.874
ACYP2	-11.513
ADA	-8.504
ADAD1	-9.493
ADAD2	-8.176
ADAL	-8.865
ADAM10	-6.137
ADAM11	-7.963
ADAM12	-8.489
ADAM15	-8.588
ADAM17	-10.618
ADAM18	-11.130
ADAM19	-13.979
ADAM2	-6.041
ADAM20	-4.141
ADAM21	-4.041
ADAM22	-8.367
ADAM23	-7.853
ADAM28	-9.407
ADAM29	-11.035
ADAM30	-6.836
ADAM32	-6.021
ADAM33	-4.641
ADAM7	-8.936
ADAM8	-10.973
ADAM9	-6.705
ADAMDEC1	-9.159
ADAMTS1	-6.256
ADAMTS10	-8.733
ADAMTS12	-10.903
ADAMTS13	-4.177
ADAMTS14	-9.520
ADAMTS15	-14.267
ADAMTS16	-15.673
ADAMTS17	-3.583
ADAMTS18	-9.377
ADAMTS19	-14.541
ADAMTS2	-8.584
ADAMTS20	-9.601
ADAMTS3	-6.017
ADAMTS4	-3.848
ADAMTS5	-13.390
ADAMTS6	-13.498
ADAMTS7	-4.221
ADAMTS8	-13.894
ADAMTS9	-6.016
ADAMTSL1	-15.821
ADAMTSL2	-5.665
ADAMTSL3	-10.990
ADAMTSL4	-2.490
ADAMTSL5	2.807
ADAP1	-9.138
ADAP2	-9.920
ADAR	29.126
ADARB1	-7.104
