genes	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
SIMC1	0.2012461155558102	0.19255085033250532	0.10770435140936072	0.025031029473870425	0.013272740064565861	0.10309328582574999	-0.0670305313731333	0.19723457198827687	0.08710703670473896	-0.11400488571944184
KIAA1191	0.22399178524069074	0.15063363122781703	0.17956108618493732	-0.014447728542072985	0.18786676885639594	0.06406027138025733	0.04508145905903278	0.1684020841414207	0.12917603160597707	0.1907215001767191
ARL10	-0.16538988729574058	-0.25347778999056075	0.019765142974191983	-0.11319470451295256	-0.04081310803251772	-0.03666364023821444	0.07810005148944804	-0.062290672151966694	0.07405562085692319	-0.35481235507099845
NOP16	-2.149498865039803	-3.007344452272974	-1.76393965824522	-0.7354320960878684	-0.4156217713218766	-1.0993502076147683	-0.1374082291600019	-2.1748567661138676	-1.7322120915596013	-2.280445316097936
HIGD2A	-0.6565012524073919	-0.6884411119889708	-0.3826741148110004	-0.3937304312909915	-0.19590588341063714	-0.3401233770533075	-0.10454961896019237	-0.2125697817929486	-0.16471550424834452	-0.3052216280165645
CLTB	0.02657172207689571	-0.017513775634424723	0.021605079452019126	-0.05331440315149215	0.029347885989328706	0.10516776290826571	0.09975811526394468	0.11514060861248358	0.0552367550554443	0.0011443846536952824
FAF2	0.5567450700540383	-0.445949693525337	-0.5408663450743846	0.10496660856942427	-0.312375693632405	-0.4690240706516227	-0.046976653905241444	-1.1311831334363336	-1.5006879914170521	-0.6644140276661787
RNF44	-0.03327689935841741	-0.17463553210702779	0.059284261183576936	-0.06875646714427087	-0.09097227445048994	-0.055277836071857156	0.03787886937927751	0.08773162242725722	0.19492951959362068	0.0463575692405489
CDHR2	-0.058497029841225325	0.17546902620087534	0.08642894573905617	0.11466492847270794	0.1296803835322195	-0.0011395413330121396	0.13823985383884477	0.222642978134865	0.1399899593540333	0.17939967478430893
GPRIN1	-0.28083370332046637	-0.2436219255949364	-0.01918832563793026	-0.17100429267690342	-0.12535375639787819	-0.06347753196243931	0.011443862006553899	0.017291391670878915	-0.042262881220163834	0.039465864437199696
SNCB	0.027640393947938647	0.06851651781408413	0.05853205153908623	0.035639856883526735	0.03860691500162642	0.05100472621431639	0.08125315112819809	0.019412312188167424	0.15015067586180209	-0.0020638758499392645
EIF4E1B	0.13067346175941424	0.27362429649029035	0.1153967178430086	0.3773454330163115	0.1940766513971164	0.2515812906342184	0.011414267927987802	0.19312503186401622	0.2453067271415524	0.15159646207525532
TSPAN17	0.6612936640943111	-0.01373360483959828	-0.018008052316396007	-0.14793139642157507	-0.07584284231342307	0.06816299545665194	0.05744905612268772	0.1512399830189069	0.21118331305886828	-0.1960149168730625
UNC5A	0.66464087289231355	0.1546174791263013	0.11270171626435285	0.08752582629442975	0.03817773024435832	0.26065704570337433	0.0903824741986347	0.1484721673782613	0.17386574791532677	0.11059843250673683
HK3	0.5866256142879552	0.014069774001431836	-0.10004669625486153	-0.0593426959341937	-0.15585192108571264	0.00976811470803811	-0.09673097857380414	-0.11859483703462972	0.10414589994765672	0.1055277970648033
UIMC1	0.12164872327465948	0.014879464503715575	0.11944019310122626	0.02128576425958597	0.11332899371205292	0.024677209111705508	-0.0357044535277135	0.20384479783090745	0.008586976488504424	-0.06525033186963317
ZNF346	0.4924768760279032	0.04168677097899585	0.0515127203720453	0.1399784749167863	0.03165474606623888	-0.10287261668053162	0.07916434788653581	0.08375659439328467	0.16978540023119326	0.3046682453840347
FGFR4	0.26722679819164946	0.29116859421176144	0.1710752303767126	0.052811400115625934	-0.02818778962299358	0.06347911818500336	0.15576087786513987	0.22383381727696722	0.07439173068691664	0.18346270861716443
NSD1	0.586724747893417	0.5141188430494401	0.36031917566942123	0.48386071288871185	0.1945167330790162	0.3176748702607704	0.263564077637986	0.14589012094607584	0.18665476590635566	0.2538356945438904
