GENE	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
ACAN	-7.377	-12.602	-12.152	-3.07	-10.235	-10.698	-4.315	-16.764	-14.882	-15.511
ACAP1	-11.443	-17.016	-13.584	-9.835	-10.296	-15.29	-8.037	-18.984	-20.812	-23.923
ACAP2	0.309	-16.198	-4.365	-2.431	-6.204	-8.724	3.655	-14.226	-6.967	-7.633
ACAP3	-6.038	-3.846	-6.689	-6.889	-5.047	-1.538	-2.629	-6.296	-9.694	-7.977
ACAT1	0.453	-6.507	-13.261	2.384	2.87	1.304	1.699	-6.835	-9.679	-13.754
ACAT2	-16.988	-5.937	-11.976	-9.202	-12.405	-11.707	3.729	-9.533	-11.619	-14.146
ACBD3	-1.973	-16.27	-18.613	-3.823	-10.66	-13.445	-9.348	-25.84	-17.994	-29.517
ACBD4	-10.38	-9.818	-17.136	-5.056	-7.026	-10.458	-3.709	-18.547	-19.891	-17.987
ACBD5	-4.055	-15.487	-9.256	-4.013	-12.506	-10.925	-2.474	-13.431	-13.716	-13.743
ACBD6	-7.356	-20.173	-22.343	-12.476	-18.258	-21.317	-7.039	-27.81	-23.865	-18.753
ACBD7	5.546	-3.863	-16.948	0.404	-11.33	-12.031	-4.679	-13.874	-8.463	-9.85
ACCS	-9.227	-14.144	-9.946	-0.112	-7.171	-7.319	-0.317	-16.787	-12.878	-15.9
ACCSL	-11.971	-12.654	-11.728	-4.233	-7.625	-7.844	-3.937	-13.819	-16.561	-10.959
ACD	-11.083	6.068	-8.107	-6.622	-3.581	-2.933	4.554	-9.948	-11.732	-6.548
ACE	-6.437	-16.904	-8.747	-5.464	-17.117	-14.307	0.197	-14.361	-9.758	-13.753
ACE2	-9.796	-13.135	-15.168	-7.763	-9.511	-15.765	-5.309	-11.903	-15.115	-12.898
ACER1	-2.89	-2.74	-2.393	2.621	-2.321	0.376	-1.682	-7.643	5.202	-7.598
ACER2	-0.519	-10.052	-7.055	-2.319	-4.964	-6.084	2.673	-14.048	-7.553	-5.793
ACER3	-7.404	-2.942	-12.388	-3.984	-6.32	-3.377	2.982	-21.679	-6.801	-6.442
ACHE	-6.026	-3.483	-5.684	-1.376	-3.309	-2.204	-0.188	-5.971	-1.894	-12.935
ACIN1	-4.008	5.673	5.041	-1.737	8.353	-4.762	3.921	-3.706	-0.124	1.454
ACKR2	-1.71	-18.389	-9.587	-3.732	-6.626	-10.611	-7.382	-11.633	-15.163	-16.236
ACKR3	-9.906	-12.093	-15.063	-3.235	-9.273	-11.477	-5.606	-12.77	-15.1	-19.763
ACKR4	-1.599	-12.767	-12.186	-6.766	-0.965	-15.812	-4.051	-7.692	3.471	-8.693
ACLY	-0.028	8.507	12.579	-6.221	-5.255	3.869	1.513	23.487	6.849	13.235
ACMSD	-9.987	-13.242	-10.164	-8.498	-8.854	-16.621	-3.551	-12.957	-14.535	-14.469
ACN9	-8.682	-9.147	-8.662	-2.774	-6.442	-5.796	-0.463	-12.945	-12.661	-13.063
ACO1	-9.51	-16.404	-13.17	-3.477	-6.355	-8.06	-1.182	-15.94	-14.649	-13.686
ACO2	27.708	-4.04	14.658	-2.675	-5.637	17.43	1.858	7.659	1.113	-12.779
ACOT1	-13.569	-7.891	-15.34	-11.125	-8.46	-13.679	-1.278	-16.52	-13.741	-15.08
ACOT11	-10.215	-10.148	-6.654	-11.037	-8.713	-5.938	-0.575	-15.521	-19.467	-15.142
ACOT12	-3.264	-17.119	-12.933	-3.044	-6.044	-2.814	0.829	-13.416	-7.343	-13.828
ACOT13	-7.317	-11.748	-9.395	-6.212	-7.662	-6.746	0.029	-14.078	-16.194	-12.72
ACOT2	-9.249	-8.02	-4.614	-4.783	0.19	-6.831	4.061	-9.723	-8.764	-9.222
ACOT4	-9.001	-15.937	-10.693	-7.039	-10.038	-11.427	-1.084	-10.71	-15.364	-15.484
ACOT6	-7.122	-18.801	-11.889	-7.17	-5.959	-14.42	0.833	-15.312	-13.538	-19.258
ACOT7	-12.35	-11.35	-18.877	-10.881	-12.389	-9.231	-4.693	-19.134	-17.928	-16.882
ACOT8	-11.034	-13.842	-17.421	-8.35	-4.164	-12.626	-3.381	-13.682	-19.362	-17.363
ACOT9	-4.046	-7.096	-11.314	-7.9	-9.306	-8.575	-1.838	-21.909	-11.199	-14.182
ACOX1	-6.012	-13.559	-4.87	-3.88	-11.375	-6.984	-2.272	-19.393	-11.936	-18.838
ACOX2	-7.501	-14.525	-6.977	-1.618	-5.463	-12.195	-2.493	-13.219	-12.974	-12.868
ACOX3	-8.838	-16.611	-15.173	-12.045	-11.576	-18.108	-5.637	-19.22	-15.724	-14.891
ACOXL	-4.958	-24.478	-19.064	-1.167	-12.395	-11.407	0.324	-16.505	-12.728	-23.448
ACP1	-15.28	-44.048	-35.284	-15.765	-17.417	-26.721	-7.38	-29.678	-38.157	-31.639
ACP2	-5.323	-3.71	-9.24	-2.272	-5.022	-7.327	1.801	-11.16	-8.495	-13.232
ACP5	-9.755	-14.1	-13.357	-3.926	-9.483	-15.48	-5.89	-23.402	-12.497	-14.67
ACP6	-13.709	-17.579	-18.046	-15.567	-14.899	-21.025	-4.644	-21.284	-23.622	-26.261
ACPL2	-6.328	-10.789	-11.294	-9.762	-6.788	-10.223	-3.699	-11.612	-6.502	-14.822
ACPP	-10.739	-14.001	-12.783	-14.38	-5.079	-15.098	-2.459	-16.698	-15.673	-10.844
ACPT	-2.831	-10.747	-14.466	-4.147	-10.047	-11.092	-2.505	-15.592	-12.641	-17.391
ACR	-5.106	-7.55	-1.937	2.794	2.521	-1.185	0.002	-5.159	-7.087	2.575
ACRBP	-6.616	-16.399	-14.274	-4.972	-12.672	-9.424	-6.353	-14.315	-19.263	-11.762
ACRC	-4.007	-19.698	-12.823	-15.838	-11.483	-14.229	-0.311	-14.862	-7.383	-12.649
ACRV1	-7.52	-13.813	-13.372	-12.125	-12.891	-18.656	-3.278	-22.148	-14.815	-17.171
ACSBG1	-12.031	-10.366	-14.007	-10.111	-12.146	-10.033	-1.589	-17.313	-17.534	-17.727
ACSBG2	-9.314	-13.638	-13.949	-7.726	-5.675	-15.217	-2.743	-22.683	-11.747	-16.946
ACSF2	-6.717	-13.733	-14.333	-4.284	-12.063	-14.066	-5.633	-19.134	-10.45	-14.713
ACSF3	-12.082	-11.056	-12.922	-12.474	-17.236	-21.142	-5.633	-23.612	-19.552	-20.21
ACSL1	-8.765	-16.993	-18.054	-4.942	-6.419	-11.67	-3.597	-16.419	-16.037	-11.668
ACSL3	-4.929	-16.582	-13.714	-9.125	-8.478	-13.975	-4.296	-6.892	-9.289	-8.481
ACSL4	-8.094	-11.262	-9.742	2.596	-13.558	-11.046	0.993	-15.512	-14.598	-11.72
ACSL5	-5.108	-10.318	-6.567	2.398	-9.496	-10.158	-0.3	-8.249	-9.886	-3.09
ACSL6	-8.48	-12.425	-13.365	-8.147	-13.921	-14.403	-3.582	-17.215	-12.148	-22.234
ACSM1	-5.257	-7.982	-10.571	-4.945	-4.67	-6.624	-1.22	-7.126	-6.004	-7.645
ACSM2A	-11.84	-11.87	-18.418	-5.747	-11.782	-20.724	-2.798	-20.531	-14.031	-16.847
ACSM2B	-5.988	-8.094	-8.488	-7.061	-6.909	-11.411	-2.286	-9.831	-10.402	-8.707
ACSM3	-6.132	-11.225	-11.428	-1.495	-9.048	-10.241	-1.517	-15.347	-17.337	-15.762
ACSM4	-6.259	-12.009	-11.701	-1.966	-4.065	-8.036	-0.108	-9.513	-14.231	-11.414
ACSM5	-6.206	-5.167	-11.849	-3.488	-5.052	-4.643	-3.134	-11.566	-13.018	-11.928
ACSS1	-10.048	-17.209	-18.645	-11.446	-14.348	-16.489	-6.797	-21.789	-19.653	-18.478
ACSS2	-7.048	-11.416	-11.373	-5.198	-12.989	-12.513	-5.118	-16.028	-18.49	-14.714
ACSS3	-13.799	-12.319	-13.965	-6.719	-14.006	-17.405	-4.912	-17.095	-22.523	-22.287
ACTA1	-11.853	-15.128	-15.584	-9.035	-8.642	-14.899	0.463	-15.078	-18.792	-15.624
ACTA2	-10.982	-13.778	-17.086	-2.91	-7.812	-11.703	-0.522	-17.317	-17.818	-14.164
ACTB	-3.5	-6.365	-1.357	2.683	3.231	-11.936	-3.77	-2.467	-3.282	-0.645
ACTBL2	-17.891	-14.355	-12.084	-7.805	-9.903	-9.75	0.287	-19.206	-17.484	-20.742
ACTC1	-8.567	-10.364	-16.157	-6.663	-8.871	-8.708	-7.684	-25.512	-20.146	-18.117
ACTG1	5.379	-3.744	-0.428	8.68	1.493	2.923	1.329	1.059	-3.373	10.666
ACTG2	-12.726	-17.388	-14.283	-10.641	-9.203	-7.807	-4.42	-21.074	-19.657	-18.828
ACTL10	-13.388	-18.221	-19.633	-11.964	-13.546	-15.021	-5.549	-19.769	-17.105	-19.179
ACTL6A	32.99	13.509	76.039	6.696	19.767	10.238	8.071	76.979	87.153	43.098
ACTL6B	-10.667	-16.457	-15.413	-11.284	-13.933	-14.567	-3.492	-16.614	-23.55	-21.855
ACTL7A	-11.962	-10.909	-14.525	-5.993	-5.904	-15.156	-2.777	-16.392	-18.886	-18.26
ACTL7B	-15.112	-20.119	-15.775	-10.355	-13.589	-16.066	-4.461	-19.886	-21.215	-19.976
ACTL8	-11.505	-17.535	-14.816	-9.33	-10.73	-14.237	-5.147	-16.699	-16.971	-16.663
ACTL9	-9.918	-17.649	-18.631	-11.889	-4.337	-11.734	-4.174	-14.588	-20.747	-12.768
ACTN1	-9.32	-12.538	-9.817	-5.723	-5.709	-10.847	-3.358	-16.663	-10.938	-13.244
ACTN2	-10.109	-19.445	-18.131	-8.685	-6.098	-11.019	-2.545	-21.507	-18.403	-17.441
ACTN4	-11.516	-12.079	-15.553	-11.57	-12.286	-9.933	-4.877	-16.512	-14.276	-13.588
ACTR10	9.155	46.259	16.569	5.714	11.495	22.576	3.451	28.208	16.642	27.816
ACTR1A	14.737	33.435	9.382	-0.993	1.215	16.539	0.907	-0.978	2.733	6.025
ACTR1B	-10.178	-18.88	-18.408	-3.76	-8.999	-10.073	-5.025	-19.003	-14.874	-21.042
ACTR2	29.047	19.625	34.559	28.438	15.997	19.932	6.62	2.253	27.813	26.92
ACTR3	6.305	4.342	1.194	10.172	-2.711	-7.965	0.646	7.736	6.967	5.152
ACTR3B	-0.411	-2.308	-9.83	-7.372	-7.547	-0.822	0.66	-9.051	-12.006	-6.55
ACTR3C	5.839	-1.498	-6.6	3.108	-0.961	-9.009	0.533	-1.597	-2.756	-4.911
ACTR5	-6.247	-4.624	-21.115	-6.157	-7.046	-11.272	0.599	-4.003	-8.3	-7.117
ACTR6	15.279	22.122	16.329	-14.384	-17.789	9.62	2.817	18.372	10.077	6.544
ACTR8	-0.222	22.344	-5.306	3.621	6.565	-2.209	3.15	1.999	1.846	5.173
ACTRT1	-11.951	-15.513	-16.579	-5.312	-7.561	-11.656	-0.689	-15.051	-13.227	-19.514
ACTRT2	-7.15	-18.922	-15.119	-11.142	-11.402	-14.185	-4.089	-21.831	-16.527	-19.522
ACTRT3	-3.618	-0.654	-7.55	-2.917	-6.791	-4.243	-2.938	-1.006	-10.846	-8.303
ACVR1	-11.386	-10.295	-15.735	-11.463	-17.393	-16.142	-6.624	-21.468	-14.063	-13.632
ACVR1B	-9.535	-17.026	-9.719	-2.631	-10.415	-17.157	-3.689	-19.928	-18.398	-17.787
ACVR1C	-9.414	-13.741	-7.908	-8.178	-10.062	-14.771	-1.558	-14.01	-13.743	-11.753
ACVR2A	-3.815	-17.356	-11.373	-1.324	-9.723	-3.598	2.911	-10.651	-2.29	0.249
ACVR2B	-11.536	-19.357	-11.334	-5.072	-6.945	-7.545	-4.311	-18.982	-18.113	-17.915
ACVRL1	-16.138	-16.103	-16.966	-10.769	-11.74	-15.909	-4.762	-20.933	-19.861	-18.119
ACY1	-9.8	-12.203	-10.98	-1.998	-12.811	-14.531	-6.099	-16.873	-15.979	-20.432
ACY3	-4.759	-15.713	-8.909	-5.397	-12.733	-9.492	-3.367	-10.557	-15.551	-22.435
ACYP1	-5.714	-14.588	-15.185	-9.807	-11.874	-13.527	-4.807	-14.598	-15.277	-9.257
ACYP2	-4.381	-18.713	-18.665	-8.122	-11.513	-15.56	-6.534	-19.911	-16.791	-21.708
ADA	-3.421	-16.032	-12.25	-4.584	-8.504	-5.541	-3.405	-13.415	-11.991	-20.851
ADAD1	-3.452	-13.856	-17.356	-8.64	-9.493	-9.597	-4.618	-21.374	-10.23	-17.423
ADAD2	-9.043	-20.15	-9.863	-11.726	-8.176	-10.594	-0.26	-18.185	-13.51	-15.118
ADAL	-1.974	-11.021	-7.841	-6.675	-8.865	-7.543	-5.663	-13.966	-10.99	-7.994
ADAM10	-5.906	-14.381	-2.34	-5.117	-6.137	-14.718	0.967	-9.016	-18.783	-9.421
ADAM11	-8.521	-11.059	-9.484	-0.58	-7.963	-4.713	-0.522	-8.866	-9.28	-14.675
ADAM12	-10.854	-10.366	-8.079	-5.622	-8.489	-4.951	0.962	-12.237	-11.596	-14.67
ADAM15	-8.463	-11.358	-19.727	-7.637	-8.588	-11.45	-4.239	-17.976	-17.21	-15.564
ADAM17	-6.656	-18.608	-16.03	-11.314	-10.618	-13.823	2.901	-20.236	-15.336	-8.649
ADAM18	-9.717	-13.113	-14.441	-9.646	-11.13	-13.272	-1.387	-16.66	-7.816	-15.436
ADAM19	-10.395	-14.345	-16.002	-7.517	-13.979	-7.639	-3.03	-17.482	-22.216	-16.556
ADAM2	2.77	-2.831	-1.963	-6.182	-6.041	-5.553	1.5	-5.236	5.809	-0.09
ADAM20	-8.691	-16.733	-12.576	-5.169	-4.141	-8.726	1.833	-15.832	-10.781	-13.206
ADAM21	-9.934	-3.703	-9.092	-4.124	-4.041	-15.625	-6.453	-6.677	-7.423	-13.361
ADAM22	-10.257	-15.279	-15.473	-9.081	-8.367	-12.912	-0.45	-15.708	-13.613	-11.54
ADAM23	-3.979	-19.304	-10.217	-9.353	-7.853	-17.846	0.957	-18.642	-10.479	-14.401
ADAM28	-10.515	-17.977	-17.621	-3.557	-9.407	-13.909	-4.074	-21.584	-13.092	-18.148
